pdb_id,smiles,affinity,stability_score,energy
2cbj,CC(=O)N[C@H]1/C(=N/OC(=O)Nc2ccccc2)O[C@H](CO)[C@@H](O)[C@@H]1O,4.32,90.7,-64.98
2cet,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)c2nc(CCc3ccccc3)cn21,2.95,54.7,-41.45
2d1o,NC(=[NH2+])NCc1ccccc1CCCCCCCCCC(=O)N[C@H](CCCC[NH3+])C(=O)NO,4.98,76.4,-77.78
2d3u,Cc1ccccc1S(=O)(=O)Nc1cc(-c2ccc(C#N)cc2)sc1C(=O)[O-],5.96,52.3,-87.77
2fvd,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,9.97,95.0,-155.81
2g70,O=[N+]([O-])c1ccc2c(c1)C[NH2+][C@@H](CO)C2,6.57,52.1,-101.69
2gss,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,9.47,53.5,-148.92
2hb1,O=C([O-])COc1c(Br)csc1C(=O)[O-],7.46,62.7,-110.99
2iwx,O=C1CCCCC/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1,3.8,83.8,-54.47
2j62,CC(C)C(=O)N[C@H]1c2nc(CCc3ccccc3)cn2[C@H](CO)[C@@H](O)[C@@H]1O,10.35,58.3,-158.25
2j78,OC[C@H]1N/C(=N\O)[C@H](O)[C@@H](O)[C@@H]1O,7.29,97.5,-113.97
2jdm,CO[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,3.06,49.2,-47.73
2jdu,CO[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,2.2,89.8,-37.59
2jdy,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,2.42,53.3,-33.61
2obf,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc2c(c1)C[NH2+][C@@H](CO)C2,9.19,98.8,-144.89
2ole,[NH3+][C@@H](CC(=O)N1CCCCCN1C(=O)c1ccccc1)Cc1cc(F)c(F)cc1F,8.83,71.1,-138.2
2p4y,COc1ccc2c(-c3c(C)n(Cc4cc(O[C@H](C)C(=O)[O-])ccc4Cl)c4cc(OC(F)(F)F)ccc34)noc2c1,3.06,50.9,-49.38
2pcp,c1ccc(C2([NH+]3CCCCC3)CCCCC2)cc1,10.78,89.1,-164.18
2pq9,O=C([O-])C1=C[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O[C@@](OP(=O)([O-])[O-])(C(=O)[O-])C(F)F)C1,8.27,78.6,-125.42
2qbp,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Br,3.14,72.7,-52.58
2qbr,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NCc3ccccc3)c2)c1Br,5.33,78.4,-78.3
2qft,O=C([O-])C[NH2+]CP(=O)([O-])[O-],3.34,67.7,-52.81
2qmj,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1[NH2+][C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,3.86,93.7,-59.89
2r23,C=CCO[C@]1(C(=O)[O-])C[C@@H](O[C@@]2(C(=O)[O-])O[C@H]([C@H](O)CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H]([C@H](O)CO)O1,7.15,90.8,-115.21
2v00,Nc1nc(CCc2ccccc2)cc(=O)[nH]1,2.04,63.6,-31.45
2v7a,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CC[NH+](C)CC4)cc3)c2C1)c1ccccc1,3.35,76.0,-49.77
2vl4,OC[C@H]1C[NH2+][C@@H](O)[C@@H](O)[C@@H]1O,5.24,70.8,-84.61
2vo5,OC[C@H]1C[C@@H]2[C@@H](O)[C@@H](O)[C@@]1(O)C[N@@H+]2Cc1ccccc1,4.42,68.5,-67.83
2vot,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nc(CNc3ccccc3)cn21,2.23,72.1,-31.56
2vvn,CCNC1=N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2S1,7.02,64.5,-104.5
2vw5,CO[C@H]1C[C@H](C)Cc2cc(O)cc(c2)NC(=O)/C(C)=C/CC[C@H](C)[C@@H](OC(N)=O)/C(C)=C/[C@H](C)[C@H]1O,2.49,82.0,-38.28
2w66,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[NH2+]C[C@H]1O,8.88,85.9,-141.57
2wbg,CCCCCCCC/N=C1\OC[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)N12,10.95,93.9,-168.39
2wca,CCCC(=O)N[C@H]1/C(=N/OC(=O)Nc2ccccc2)O[C@H](CO)[C@@H](O)[C@@H]1O,5.93,52.2,-87.23
2weg,NS(=O)(=O)c1ccccc1F,7.93,96.8,-125.83
2wtv,O=C([O-])c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,6.84,44.3,-105.2
2x00,CC1=C([C@@H]2C[C@H](C)C(=O)O2)CC[C@]23CCCN=C2CC/C=C(\C)[C@@H]2O[C@@H](CC[C@H](O)/C(C)=C/[C@@H]13)C[C@H]2C,8.67,51.9,-129.6
2x0y,Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O,10.81,79.9,-166.27
2x8z,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)[O-],6.6,83.3,-100.0
2x97,CC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc1ccccc1)[P@](=O)([O-])C[C@@H](C)C(=O)N[C@@H](C)C(N)=O,7.56,91.2,-115.13
2xb8,COc1ccc(C[C@H]2C(=O)[C@@H](O)[C@H](O)C[C@]2(O)C(=O)[O-])cc1,4.92,81.0,-76.14
2xbv,O=C(Nc1ccc(Cl)cn1)[C@H]1C[N@H+](CC(F)F)C[C@@H]1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,3.19,83.1,-48.13
2xdl,CCN(CC)C(=O)c1ccc(O)c(OC)c1,2.6,68.9,-37.03
2xhm,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)P(=O)([O-])[O-],7.18,52.9,-107.49
2xnb,Cc1c(-c2ccnc(Nc3ccc(N4CC[NH2+]CC4)cc3)n2)sc(=O)n1C,7.04,50.4,-106.78
2xy9,O=C(N[C@@H](Cc1ccccc1)[P@](=O)([O-])C[C@H](Cc1cc(-c2ccccc2)no1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)[O-])OCc1ccccc1,4.0,46.2,-65.81
2xys,O[C@@H]1C[C@@H]2OCC=C3C[N@@H+]4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,10.92,67.0,-169.53
2y5h,C[N+](C)(C)CCCN1C(=O)[C@@H]2[C@H](C1=O)[C@H](c1coc(-c3ccc(Cl)s3)n1)[N@H+]1CCC[C@@H]21,7.02,77.5,-104.69
2yfe,COc1cc(CCc2ccccc2)c(C(=O)[O-])c(O)c1CC=C(C)C,10.21,89.5,-154.7
2yge,COC1=C2C[C@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,4.02,96.6,-64.24
2yki,O=C(N[C@@H]1c2ccccc2-c2c(-c3nc4ccncc4[nH]3)cccc21)c1ccnc2[nH]ccc12,7.84,46.4,-116.74
2ymd,[NH3+]CCc1c[nH]c2ccc(O)cc12,9.51,84.6,-142.43
2zcq,O=P([O-])([O-])[C@@H](CCCc1cccc(Oc2ccccc2)c1)S(=O)(=O)[O-],10.19,59.1,-160.5
2zcr,CCCCc1ccc(-c2ccc(CCC[C@H](P(=O)([O-])[O-])S(=O)(=O)[O-])cc2)cc1,5.17,41.0,-84.2
2zjw,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,7.88,73.7,-121.13
2zwz,C[C@@H]1[NH2+][C@H](C[NH3+])[C@@H](O)[C@H](O)[C@@H]1O,8.56,92.7,-128.17
2zx6,C[C@@H]1[NH2+][C@H](CNC(=O)Cc2c[nH]c3ccccc23)[C@@H](O)[C@H](O)[C@@H]1O,6.84,67.6,-102.42
2zxd,CC(C)[C@@H]1[NH2+]C[C@@H](O)[C@H](O)[C@@H]1O,6.99,96.3,-105.3
3acw,O[C@]1(c2ccc(-c3ccccc3)cc2)C[N@H+]2CC[C@@H]1CC2,6.86,96.5,-110.58
3ag9,NC(=[NH2+])NCCC[C@@H](NC(=O)[C@@H](CCCNC(N)=[NH2+])NC(=O)CCCCCNC(=O)[C@@H](CCCC[NH3+])NC(=O)CCCCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O,4.0,45.7,-59.91
3ao4,Cn1nc(-c2ccc3c(c2)OCO3)cc1N,5.44,94.2,-80.75
3b3s,CC(C)C[C@H]([NH3+])C(=O)[O-],9.27,67.9,-138.84
3b3w,CC(C)C[C@H]([NH3+])C(=O)[O-],4.44,89.3,-73.5
3b68,CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1,2.25,67.6,-36.93
3bfu,[NH3+][C@H](Cc1ns[nH]c1=O)C(=O)[O-],9.3,40.8,-148.42
3bkk,O=C(CCC(O)(O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)N[C@@H](Cc1ccccc1)C(=O)[O-],5.45,51.0,-88.12
3bpc,C/C=C\O[C@]1(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO[C@]2(C(=O)[O-])C=CC[C@@H]([C@H](O)CO)O2)O1,7.84,63.0,-125.26
3cft,Nc1cccc2c(S(=O)(=O)[O-])cccc12,2.49,94.2,-38.04
3cj2,C[C@@H]1C[C@H](C)CN(C(=O)c2cc(Br)ccc2N)C1,6.59,76.9,-97.38
3coy,CC(C)(C)[C@@H]([NH3+])C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,5.1,90.3,-76.86
3cyx,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@H+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,6.11,69.4,-90.9
3d4z,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)c2nccn21,4.74,95.4,-68.76
3dd0,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,2.73,52.1,-41.56
3dxg,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,4.45,69.0,-65.07
3e93,Cc1ccc(C(=O)Nc2cccc(N3CCOCC3)c2)cc1-c1ccc2c(C3CC[NH2+]CC3)noc2c1,10.92,58.1,-166.4
3ebp,C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,6.28,62.0,-97.22
3ehy,COc1ccc(S(=O)(=O)N[C@H](C)C(=O)[O-])cc1,8.08,60.3,-123.27
3ejr,CC(C)(C)c1ccc(C(=O)C[C@H]2CC[C@@H](O)[C@@H]3[C@H](O)[C@H](O)C[N@@H+]23)cc1,3.82,67.3,-58.38
3f17,O=NC(=O)CNS(=O)(=O)c1ccc(-c2ccccc2)cc1,5.76,84.6,-90.68
3f3a,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],4.25,70.4,-68.69
3f3c,[NH3+][C@@H](Cc1ccc(F)cc1)C(=O)[O-],9.05,98.5,-144.66
3f3e,CC(C)C[C@H]([NH3+])C(=O)[O-],5.66,62.4,-89.85
3f80,[NH3+][C@@H](CCCC[N+](=O)[O-])C(=O)[O-],8.0,74.8,-125.84
3fcq,CC(=O)Oc1c(C)cccc1C(=O)[O-],7.44,99.0,-119.37
3fk1,O=C([O-])C[NH2+]CP(=O)([O-])[O-],3.56,87.2,-57.63
3fv1,C[NH2+][C@H]1[C@H]2O[C@@](C[C@H]([NH3+])C(=O)[O-])(C(=O)[O-])C[C@H]2OC[C@H]1O,6.7,44.6,-107.89
3g0w,Cc1c(/N=C2\O[C@@H](C(F)(F)F)[C@@H]3[C@@H](O)CCN23)ccc(C#N)c1Cl,7.09,41.3,-113.08
3g2n,O=C(N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,10.29,44.2,-158.28
3g2z,O=C1C=C(Nc2nnn[nH]2)CCC1,10.59,57.5,-166.16
3gbb,[NH3+][C@@H](C[C@]1(C(=O)[O-])C[C@H]2OCCC[C@H]2O1)C(=O)[O-],4.3,76.5,-71.01
3gcs,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,9.32,85.7,-148.32
3ge7,CNc1nc2c(CC[NH2+]CC3CCCC3)c3[nH]c(=[NH2+])[nH]c(=O)c3cc2[nH]1,9.06,61.6,-135.72
3gnw,Cc1cccc(C(=O)N2c3cccc(O)c3NC3=C([C@@H]2c2ccc(OCc4ccccc4)cc2F)S(=O)(=O)CC(C)(C)C3)n1,2.17,50.9,-29.36
3gy4,NC(=[NH2+])c1ccc(N)cc1,9.29,69.2,-147.71
3huc,C=CC(=O)Nc1ccc2c(Nc3ccn[nH]3)nc(-c3ccccc3)nc2c1,10.56,48.8,-167.56
3i3b,O=C1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,8.82,76.6,-131.8
3imc,COc1ccc2[nH]ccc2c1,2.64,63.2,-38.57
3ivg,COc1ccc2c(c1)cc(CNS(=O)(=O)c1cc3ccccc3o1)n2CC(=O)[O-],10.7,75.3,-165.79
3jvs,CC(C)(C)c1ccc(C(=O)NNC(=O)Nc2cccc3ccccc23)cc1[N+](=O)[O-],8.98,73.1,-141.47
3k5v,NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,3.54,65.9,-56.1
3kgp,[NH3+]Cc1ccc(C(=O)[O-])cc1,8.86,91.2,-136.15
3kv2,N/C(=N\O)NCC[C@H]([NH3+])C(=O)[O-],7.58,71.3,-120.7
3kwa,[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],6.83,90.8,-105.14
3l3n,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],2.89,53.5,-42.09
3l4u,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,3.77,82.2,-56.9
3l4w,OCC[N@@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,9.57,64.5,-149.22
3l7b,[H]/N=c1\ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](F)[C@H]2O)c(=O)[nH]1,4.46,93.0,-68.56
3lka,COc1ccc(S(N)(=O)=O)cc1,5.23,77.2,-77.04
3mfv,Nc1ncc(CC[C@H]([NH3+])C(=O)[O-])[nH]1,3.93,85.7,-63.06
3mss,CNC(=O)[C@@H]([NH3+])Cc1ccc(OCc2ccccc2)cc1,2.89,45.9,-42.86
3muz,CC(C)S[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,8.21,90.9,-130.29
3myg,CC[N@H+](Cc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)C(C)(C)CO,3.37,75.1,-47.26
3n7a,O=C([O-])[C@]1(O)C=C[C@@H](O)[C@H](O)C1,8.05,52.4,-128.42
3n86,O=C(CCC1=C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O)Nc1ccccc1,8.28,79.5,-130.36
3nox,Cc1nc2nc(C(=O)N3CCOCC3)cn2c(-c2ccc(Cl)cc2Cl)c1C[NH3+],4.09,47.0,-58.77
3nq3,CCCCCCCCCC(=O)[O-],6.72,58.8,-100.17
3nw9,Cc1ncnc2c1ncn2[C@@H]1O[C@H](/C=C/CNC(=O)c2cc(-c3ccc(F)cc3)cc(O)c2O)[C@@H](O)[C@H]1O,4.64,47.3,-67.04
3oe5,O=C(NC/C=C/[C@H]1O[C@@H](Sc2ccncc2)[C@H](O)[C@@H]1O)c1cc([N+](=O)[O-])cc(O)c1O,9.05,69.5,-139.04
3ov1,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(N)=O)CC1,5.72,52.1,-85.48
3owj,Cc1c2cc[nH]c(=O)c2c(C)c2c1[nH]c1ccc(O)cc12,2.94,85.1,-49.63
3ozt,O=C(NC/C=C/[C@H]1O[C@@H](n2ccc(=O)cc2)[C@H](O)[C@@H]1O)c1cc([N+](=O)[O-])cc(O)c1O,4.73,68.7,-76.16
3pe2,C#Cc1cccc(Nc2nc3cc(C(=O)[O-])ccc3c3cncnc23)c1,3.87,48.9,-57.2
3pww,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@@H+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,7.1,73.6,-107.42
3pxf,O=S(=O)([O-])c1cccc2cccc(Nc3ccccc3)c12,3.13,90.6,-50.13
3s8o,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(N)=O)CCCCC1,7.76,82.1,-124.73
3su2,CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)n3cc4cccc(F)c4c3)CN2C1=O,5.51,41.4,-85.96
3su3,CC[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)CCCCc1cccc3cn(cc13)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,3.07,92.5,-44.4
3su5,CC[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)CCCCc1cccc3cn(cc13)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,10.82,61.5,-169.54
3u9q,CCCCCCCCCC(=O)[O-],6.3,49.1,-98.16
3udh,O=C1Nc2ccccc2[C@]12CC[NH2+]C2,9.06,63.1,-144.21
3ueu,CCCCCCCCCCCC(=O)[O-],9.37,63.0,-144.28
3uex,CCCCCCCCCCCCCCCCCC(=O)[O-],10.41,41.3,-165.42
3uo4,O=C([O-])c1ccc(Nc2nccc(Nc3ccccc3-c3ccccc3)n2)cc1,2.21,71.9,-30.09
3uri,CSCC[C@H]([NH2+]C[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC[NH2+]1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)[O-],6.07,43.6,-98.17
3utu,COc1ccc(S(=O)(=O)N[C@@H](CC(=O)NCc2ccc(C#N)cc2)C(=O)N2CCC[C@H]2C(=O)NCc2ccc(C(N)=[NH2+])cc2)cc1Cl,3.92,74.0,-57.55
